Training on train env ...
Epoch: [1][129/200]	Time 17.693 (10.680)	Loss 10.0170 (12.9781)	
Epoch: [1][130/200]	Time 13.951 (10.705)	Loss 9.4756 (12.9511)	
Epoch: [1][131/200]	Time 13.176 (10.724)	Loss 9.1604 (12.9222)	
Epoch: [1][132/200]	Time 15.044 (10.757)	Loss 9.1474 (12.8936)	
Epoch: [1][133/200]	Time 13.161 (10.775)	Loss 9.4945 (12.8680)	
Epoch: [1][134/200]	Time 13.555 (10.796)	Loss 12.7544 (12.8672)	
Epoch: [1][135/200]	Time 13.368 (10.815)	Loss 9.5638 (12.8427)	
Epoch: [1][136/200]	Time 13.432 (10.834)	Loss 9.5411 (12.8184)	
Epoch: [1][137/200]	Time 13.290 (10.852)	Loss 10.9010 (12.8044)	
Epoch: [1][138/200]	Time 12.629 (10.865)	Loss 10.5318 (12.7880)	
Epoch: [1][139/200]	Time 12.979 (10.880)	Loss 9.1062 (12.7615)	
Epoch: [1][140/200]	Time 12.046 (10.888)	Loss 7.2569 (12.7222)	
Epoch: [1][141/200]	Time 12.660 (10.901)	Loss 11.0114 (12.7100)	
Epoch: [1][142/200]	Time 12.562 (10.913)	Loss 8.7962 (12.6825)	
Epoch: [1][143/200]	Time 13.643 (10.932)	Loss 8.5050 (12.6533)	
Epoch: [1][144/200]	Time 13.275 (10.948)	Loss 8.1507 (12.6220)	
Epoch: [1][145/200]	Time 12.195 (10.957)	Loss 8.7189 (12.5951)	
Epoch: [1][146/200]	Time 13.302 (10.973)	Loss 8.9655 (12.5702)	
Epoch: [1][147/200]	Time 14.213 (10.995)	Loss 7.5204 (12.5359)	
Epoch: [1][148/200]	Time 31.632 (11.134)	Loss 9.0156 (12.5121)	
Epoch: [1][149/200]	Time 17.493 (11.177)	Loss 8.9089 (12.4879)	
Epoch: [1][150/200]	Time 14.598 (11.200)	Loss 9.1721 (12.4658)	
Epoch: [1][151/200]	Time 14.562 (11.222)	Loss 10.5339 (12.4530)	
