Evaluating on val_seen env ...
Epoch: [0][108/256]	Time 0.550 (1.333)	Loss 2.5104 (7.7423)	
Epoch: [0][109/256]	Time 0.978 (1.330)	Loss 4.2363 (7.7101)	
Epoch: [0][110/256]	Time 1.645 (1.333)	Loss 9.3081 (7.7246)	
Epoch: [0][111/256]	Time 1.637 (1.336)	Loss 11.4299 (7.7580)	
Epoch: [0][112/256]	Time 0.389 (1.327)	Loss 2.4004 (7.7102)	
Epoch: [0][113/256]	Time 1.514 (1.329)	Loss 8.6962 (7.7189)	
Epoch: [0][114/256]	Time 0.697 (1.323)	Loss 3.3953 (7.6810)	
Epoch: [0][115/256]	Time 0.748 (1.318)	Loss 3.5590 (7.6451)	
Epoch: [0][116/256]	Time 0.575 (1.312)	Loss 3.9529 (7.6133)	
Epoch: [0][117/256]	Time 1.689 (1.315)	Loss 11.4845 (7.6464)	
Epoch: [0][118/256]	Time 1.543 (1.317)	Loss 10.9245 (7.6742)	
Epoch: [0][119/256]	Time 1.530 (1.319)	Loss 10.7962 (7.7004)	
Epoch: [0][120/256]	Time 1.016 (1.316)	Loss 5.5945 (7.6829)	
Epoch: [0][121/256]	Time 0.775 (1.312)	Loss 4.0217 (7.6526)	
Epoch: [0][122/256]	Time 1.466 (1.313)	Loss 8.1300 (7.6565)	
Epoch: [0][123/256]	Time 0.629 (1.307)	Loss 4.1354 (7.6279)	
Epoch: [0][124/256]	Time 1.698 (1.311)	Loss 9.4452 (7.6425)	
Epoch: [0][125/256]	Time 1.476 (1.312)	Loss 11.4018 (7.6726)	
Epoch: [0][126/256]	Time 0.471 (1.305)	Loss 2.6392 (7.6327)	
Epoch: [0][127/256]	Time 0.881 (1.302)	Loss 4.3586 (7.6069)	
Epoch: [0][128/256]	Time 1.710 (1.305)	Loss 10.1191 (7.6265)	
Epoch: [0][129/256]	Time 1.873 (1.310)	Loss 10.8368 (7.6514)	
Epoch: [0][130/256]	Time 1.716 (1.313)	Loss 9.4605 (7.6653)	
Epoch: [0][131/256]	Time 1.628 (1.315)	Loss 10.9027 (7.6900)	
Epoch: [0][132/256]	Time 1.457 (1.316)	Loss 8.1167 (7.6933)	
Epoch: [0][133/256]	Time 1.666 (1.319)	Loss 9.7115 (7.7084)	
Epoch: [0][134/256]	Time 0.242 (1.311)	Loss 1.3363 (7.6609)	
Epoch: [0][135/256]	Time 1.654 (1.313)	Loss 9.0526 (7.6712)	
Epoch: [0][136/256]	Time 1.519 (1.315)	Loss 9.3462 (7.6835)	
Epoch: [0][137/256]	Time 0.690 (1.310)	Loss 3.4274 (7.6524)	
Epoch: [0][138/256]	Time 1.492 (1.312)	Loss 11.2510 (7.6785)	
Epoch: [0][139/256]	Time 1.363 (1.312)	Loss 10.5273 (7.6990)	
Epoch: [0][140/256]	Time 1.285 (1.312)	Loss 7.9041 (7.7005)	
Epoch: [0][141/256]	Time 1.537 (1.313)	Loss 9.2839 (7.7117)	
Epoch: [0][142/256]	Time 1.560 (1.315)	Loss 7.3318 (7.7090)	
Epoch: [0][143/256]	Time 1.711 (1.318)	Loss 10.2711 (7.7269)	
Epoch: [0][144/256]	Time 1.609 (1.320)	Loss 12.2865 (7.7586)	
Epoch: [0][145/256]	Time 0.496 (1.314)	Loss 2.6515 (7.7234)	
Epoch: [0][146/256]	Time 1.595 (1.316)	Loss 9.3066 (7.7342)	
Epoch: [0][147/256]	Time 1.516 (1.317)	Loss 11.1994 (7.7578)	
Epoch: [0][148/256]	Time 1.485 (1.319)	Loss 10.3939 (7.7756)	
Epoch: [0][149/256]	Time 0.603 (1.314)	Loss 4.0205 (7.7504)	
Epoch: [0][150/256]	Time 1.550 (1.315)	Loss 10.6405 (7.7697)	
Epoch: [0][151/256]	Time 1.423 (1.316)	Loss 12.0698 (7.7982)	
Epoch: [0][152/256]	Time 1.437 (1.317)	Loss 8.6089 (7.8035)	
Epoch: [0][153/256]	Time 0.717 (1.313)	Loss 3.9468 (7.7783)	
Epoch: [0][154/256]	Time 1.290 (1.313)	Loss 6.7414 (7.7716)	
Epoch: [0][155/256]	Time 1.017 (1.311)	Loss 6.4470 (7.7630)	
Epoch: [0][156/256]	Time 1.777 (1.314)	Loss 18.7575 (7.8335)	
Epoch: [0][157/256]	Time 1.495 (1.315)	Loss 10.4037 (7.8499)	
Epoch: [0][158/256]	Time 1.321 (1.315)	Loss 9.7539 (7.8619)	
Epoch: [0][159/256]	Time 1.597 (1.317)	Loss 11.2500 (7.8832)	
Epoch: [0][160/256]	Time 1.605 (1.319)	Loss 9.3412 (7.8923)	
Epoch: [0][161/256]	Time 1.074 (1.317)	Loss 5.3376 (7.8765)	
Epoch: [0][162/256]	Time 0.466 (1.312)	Loss 2.6350 (7.8441)	
Epoch: [0][163/256]	Time 0.803 (1.309)	Loss 5.2279 (7.8281)	
Epoch: [0][164/256]	Time 1.500 (1.310)	Loss 7.2781 (7.8247)	
Epoch: [0][165/256]	Time 0.514 (1.305)	Loss 2.7840 (7.7942)	
Epoch: [0][166/256]	Time 0.849 (1.302)	Loss 5.3906 (7.7797)	
Epoch: [0][167/256]	Time 0.607 (1.298)	Loss 4.5360 (7.7602)	
Epoch: [0][168/256]	Time 1.559 (1.300)	Loss 10.7105 (7.7778)	
Epoch: [0][169/256]	Time 1.640 (1.302)	Loss 11.2501 (7.7984)	
Epoch: [0][170/256]	Time 1.413 (1.302)	Loss 11.1232 (7.8179)	
Epoch: [0][171/256]	Time 0.368 (1.297)	Loss 1.9857 (7.7838)	
Epoch: [0][172/256]	Time 1.015 (1.295)	Loss 5.9548 (7.7732)	
Epoch: [0][173/256]	Time 1.415 (1.296)	Loss 8.7438 (7.7788)	
Epoch: [0][174/256]	Time 0.580 (1.292)	Loss 2.7368 (7.7498)	
Epoch: [0][175/256]	Time 0.852 (1.289)	Loss 6.5123 (7.7427)	
Epoch: [0][176/256]	Time 1.456 (1.290)	Loss 10.8519 (7.7604)	
Epoch: [0][177/256]	Time 1.636 (1.292)	Loss 10.3044 (7.7748)	
Epoch: [0][178/256]	Time 1.615 (1.294)	Loss 9.6156 (7.7851)	
Epoch: [0][179/256]	Time 1.537 (1.295)	Loss 11.1284 (7.8038)	
Epoch: [0][180/256]	Time 1.588 (1.297)	Loss 9.4477 (7.8129)	
Epoch: [0][181/256]	Time 1.610 (1.299)	Loss 8.8341 (7.8186)	
Epoch: [0][182/256]	Time 0.499 (1.294)	Loss 2.4851 (7.7893)	
Epoch: [0][183/256]	Time 0.430 (1.290)	Loss 1.8954 (7.7571)	
Epoch: [0][184/256]	Time 1.343 (1.290)	Loss 8.9646 (7.7636)	
Epoch: [0][185/256]	Time 0.318 (1.285)	Loss 2.1358 (7.7332)	
Epoch: [0][186/256]	Time 1.538 (1.286)	Loss 11.4541 (7.7532)	
Epoch: [0][187/256]	Time 1.692 (1.288)	Loss 12.4461 (7.7783)	
Epoch: [0][188/256]	Time 0.493 (1.284)	Loss 2.8101 (7.7519)	
Epoch: [0][189/256]	Time 1.465 (1.285)	Loss 9.5007 (7.7611)	
Epoch: [0][190/256]	Time 1.613 (1.287)	Loss 15.6109 (7.8024)	
Epoch: [0][191/256]	Time 1.573 (1.288)	Loss 11.1293 (7.8199)	
Epoch: [0][192/256]	Time 1.581 (1.290)	Loss 8.7543 (7.8247)	
